Rank,Name,W2001,Citizenship,C2001,Age01,I01,,Rank,Name,W2002,Citizenship,C2002,Age02,I02,,Rank,Name,W2003,Citizenship,C2003,Age03,I03,,Rank,Name,W2004,Citizenship,C2004,Age04,I04,,Rank,Name,W2005,Citizenship,C2005,Age05,I05,,Rank,Name,W2006,Citizenship,C2006,Age06,I06,,Rank,Name,W2007,Citizenship,C2007,Age07,I07,,Rank,Name,W2008,Citizenship,C2008,Age08,I08,,Rank,Name,W2009,Citizenship,C2009,Age09,I09,,Rank,Name,W2010,Citizenship,C2010,Age10,I10,G10,,Rank,Name,W2011,Citizenship,C2011,Age11,I11,G11,,Rank,Name,W2012,Citizenship,C2012,Age12,I12,G12,,Rank,Name,W2013,Citizenship,C2013,Age13,I13,G13,,Rank,Name,W2014,Citizenship,C2014,Age14,I14,G14,,Rank,Name,W2015,Citizenship,C2015,Age15,I15,G15,,Rank,Name,W2016,Citizenship,C2016,Age16,I16,G16,,Rank,Name,W2017,Citizenship,C2017,Age17,I17,G17,,Rank,Name,W2018,Citizenship,C2018,Age18,I18,G18,,Rank,Name,W2019,Citizenship,C2019,Age19,I19,G19,,Rank,Name,W2020,Citizenship,C2020,Age20,I20,G20,,Rank,Name,W2021,Citizenship,C2021,Age21,I21,G21,,Rank,Name,W2022,Citizenship,C2022,Age22,I22,G22,,Rank,full_name,W2023,Citizenship,C2023,Age23,I23,G23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Tang Shing-bor,10,China,Asia,83,Real Estate,Male,,1999,Dang Yanbao,11,China,Asia,45,Materials,Male,,1941,Steven Roth,11,United State,North America,77,Real Estate,Male,,1990,Tao Yuequn,10,China,Asia,56,Financials,Male,,1931,Yang Lijuan,16,China,Asia,43,Consumer,Female,,1929,Thomas Steyer,15,United State,North America,64,Energy,Male,,2020,Vladimir Bogdanov,14,Russia,Europe,71,Energy,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Alexander Tedja,10,Indonesia,Asia,71,Real Estate,Male,,1999,Bharat Desai,11,United State,North America,65,Information Technology,Male,,1941,Chanchai Ruayrungruang,11,China,Asia,65,Real Estate,Male,,1990,David Kabiller,10,United State,North America,90,Information Technology,Male,,1931,Yao Kuizhang,16,China,Asia,56,Consumer,Male,,1929,Jonathan Tisch,15,United State,North America,68,Consumer,Male,,2020,Amit Burman,14,India,Asia,53,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Mustafa Latif Topbas,10,Turkey,Asia,73,Consumer,Male,,1999,Joseph Edelman,11,United State,North America,62,Financials,Male,,1941,Chris Sacca,11,United State,North America,43,Financials,Male,,1990,Carl Thoma,10,United State,North America,54,Financials,Male,,1931,Yu Peidi,16,China,Asia,61,Real Estate,Male,,1929,Wilma Tisch,15,United State,North America,94,Financials,Male,,2020,Cai Jianyong,14,China,Asia,52,Materials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Surin Upatkoon,10,Thailand,Asia,67,Financials,Male,,1999,Wolfgang Egger,11,Germany,Europe,-,Real Estate,Male,,1941,Deniz Sahenk,11,Turkey,Asia,73,Financials,Female,,1990,Morris Kahn,10,Israel,Asia,50,Financials,Male,,1931,David Zalik,16,United State,North America,47,Information Technology,Male,,1929,Eduardo Eurnekian,15,Argentina,South America,89,HealthCare,Female,,2020,Steve Case,14,United State,North America,64,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Murat Vargi,10,Turkey,Asia,69,Information Technology,Male,,1999,Andrei Filatov,11,Russia,Europe,46,Industrials,Male,,1941,Steven Schuurman,11,Netherlands,Europe,43,Information Technology,Male,,1990,Laurie Tisch,10,United State,North America,56,Financials,Male,,1931,Zhang Cheng Fei,16,China,Asia,53,Industrials,Male,,1929,Chengjian Zhou,15,China,Asia,56,Consumer,Male,,2020,Chen Wenyuan & family,14,China,Asia,55,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Alexander Vik,10,Norway,Europe,62,Financials,Male,,1999,Paul Fireman,11,United State,North America,74,Consumer,Male,,1941,Alice Schwartz,11,United State,North America,92,HealthCare,Female,,1990,Jonas Kamprad,10,Sweden,Europe,54,Industrials,Male,,1931,Zhang Keqiang,16,China,Asia,60,Real Estate,Male,,1929,Hemendra Kothari,15,India,Asia,75,Information Technology,Male,,2020,Chua Thian Poh,14,Singapore,Asia,74,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Wang Jinshu,10,China,Asia,60,Industrials,Male,,1999,J. Christopher Flowers,11,United State,North America,60,Financials,Male,,1941,Shen Yuxing,11,China,Asia,60,Real Estate,Male,,1990,Steven Tisch,10,United State,North America,41,Information Technology,Male,,1931,Zhang Shilong & family,16,China,Asia,55,Information Technology,Male,,1929,Ana Maria Brescia Cafferata,15,Peru,South America,97,Financials,Male,,2020,Sasson Dayan & family,14,Brazil,South America,83,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Wang Junmin,10,China,Asia,48,HealthCare,Male,,1999,Fu Kwan,11,China,Asia,60,Financials,Male,,1941,Shin Dong-bin,11,South Korea,Asia,64,Consumer,Male,,1990,Mathias Kamprad,10,Sweden,Europe,48,Industrials,Male,,1931,Zhang Xiaojuan,16,China,Asia,51,Industrials,Female,,1929,Conni Jonsson,15,Sweden,Europe,61,Consumer,Male,,2020,Chris Ellison,14,Australia,Australia,65,Materials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Wang Qunbin,10,China,Asia,47,Financials,Male,,1999,Sheela Gautam,11,India,Asia,86,Consumer,Female,,1941,Michael Steinhardt,11,United State,North America,78,Financials,Male,,1990,Torsten Toeller,10,Germany,Europe,57,Financials,Male,,1931,Zhang Yuanlin,16,China,Asia,45,Real Estate,Male,,1929,Egon Durban,15,United State,North America,48,Financials,Male,,2020,John Farber,14,United State,North America,97,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Wang Yong,10,China,Asia,66,Consumer,Male,,1999,Drew Houston,11,United State,North America,35,Information Technology,Male,,1941,Svein Stole,11,Norway,Europe,55,Financials,Male,,1990,Peter Kamprad,10,Sweden,Europe,58,Materials,Male,,2035,Antti Aarnio-Wihuri,15,Finland,Europe,81,Financials,Male,,1929,Kenneth Hao,15,United State,North America,53,Consumer,Male,,2020,J. Christopher Flowers,14,United State,North America,65,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Wei Shaojun,10,China,Asia,54,Real Estate,Male,,1999,Huang Shilin,11,China,Asia,51,Energy,Male,,1941,Harjo Sutanto,11,Indonesia,Asia,92,Consumer,Male,,1990,Jayshree Ullal,10,United State,North America,45,Consumer,Male,,2035,Hamdi Akin & family,15,Turkey,Asia,66,Financials,Male,,1929,Alan Miller & family,15,United State,North America,84,Communication Services,Male,,2020,Reinold Geiger,14,Austria,Europe,75,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,David Shou-Yeh Wong,10,China,Asia,76,Financials,Male,,1999,Huang Wen Tsai,11,China,Asia,64,Real Estate,Male,,1941,Hary Tanoesoedibjo,11,Indonesia,Asia,53,Communication Services,Male,,1990,Ke Guihua,10,China,Asia,55,Real Estate,Male,,2035,Herbert Allen Jr & family,15,United State,North America,81,Financials,Male,,1929,Greg Mondre,15,United State,North America,47,Consumer,Male,,2020,Ali Ghodsi,14,Sweden,Europe,44,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Wu Chung-Yi,10,China,Asia,58,Industrials,Male,,1999,Mohammed Ibrahim,11,United Kingdom,Europe,71,Information Technology,Male,,1941,Rit Thirakomen,11,Thailand,Asia,67,Consumer,Male,,1990,Pieter van der Does,10,Netherlands,Europe,66,Consumer,Male,,2035,Harindarpal Banga,15,India,Asia,70,Financials,Male,,1929,Marek Dospiva,15,Czech Republic,Europe,52,Consumer,Male,,2020,Lance Gokongwei,14,Philippines,Asia,55,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Yao Xinyi,10,China,Asia,52,Financials,Male,,1999,Hiroshi Ishibashi,11,Japan,Asia,71,Consumer,Male,,1941,Ayhan Tosyali,11,Turkey,Asia,55,Materials,Male,,1990,Bom Kim,10,United State,North America,55,Information Technology,Male,,2035,Ulrike Baro,15,Germany,Europe,-,HealthCare,Female,,1929,Clement Fayat & family,15,France,Europe,90,Financials,Male,,2020,Guan Yihong,14,China,Asia,53,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Fatma Yazici,10,Turkey,Asia,43,Financials,Female,,1999,Bent Jensen,11,Denmark,Europe,66,Industrials,Male,,1941,Fatih Tosyali,11,Turkey,Asia,53,Materials,Male,,1990,Vardis Vardinoyannis & family,10,Greece,Europe,48,Information Technology,Male,,2035,Alex Beard,15,United Kingdom,Europe,53,Materials,Male,,1929,Mathias Doepfner,15,Germany,Europe,59,Financials,Male,,2020,Rajinder Gupta,14,India,Asia,64,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Zhang Changhong,10,China,Asia,59,Information Technology,Male,,1999,Chatchai Kaewbootta,11,Thailand,Asia,66,Financials,Male,,1941,Shoji Uehara,11,Japan,Asia,91,HealthCare,Male,,1990,Aziz Akhannouch & family,10,Morocco,Africa,66,HealthCare,Male,,2035,Barbara Benetton,15,Italy,Europe,51,Consumer,Female,,1929,Thomas von Koch,15,Sweden,Europe,56,Energy,Male,,2020,Torstein Hagen,14,Norway,Europe,80,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Zhang Cheng Fei,10,China,Asia,49,Industrials,Male,,1999,Jonas Kamprad,11,Sweden,Europe,52,Financials,Male,,1941,Pieter van der Does,11,Netherlands,Europe,49,Information Technology,Male,,1990,Sergei Kolesnikov,10,Russia,Europe,52,Financials,Male,,2035,Paolo Bulgari,15,Italy,Europe,83,Consumer,Male,,1929,Joe Lacob,15,United State,North America,66,Industrials,Male,,2020,Ayman Hariri,14,Lebanon,Asia,44,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Zhou Yifeng,10,China,Asia,38,Energy,Female,,1999,Mathias Kamprad,11,Sweden,Europe,48,Financials,Male,,1941,Wang Jianfeng & family,11,China,Asia,49,Consumer,Male,,1990,Chris Wallin,10,Australia,Australia,53,Real Estate,Male,,2035,Ron Burkle,15,United State,North America,68,Financials,Male,,1929,Naomi Azrieli,15,Canada,North America,56,Industrials,Male,,2020,Alfredo Harp Helu & family,14,Mexico,North America,79,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Peter Kamprad,11,Sweden,Europe,53,Financials,Male,,1941,Wang Miaotong,11,China,Asia,61,Consumer,Male,,1990,Alberto Alcocer,10,Spain,Europe,49,Information Technology,Male,,2035,Ahmet Calik,15,Turkey,Asia,63,Financials,Male,,1929,Sharon Azrieli,15,Canada,North America,61,Consumer,Male,,2020,He Xiaopeng,14,China,Asia,45,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Madhu Kapur,11,India,Asia,-,Financials,Female,,1941,Wen Yibo & family,11,China,Asia,53,Consumer,Male,,1990,Ihor Kolomoyskyy,10,United Kingdom,Europe,71,Financials,Male,,2035,Steve Case,15,United State,North America,62,Information Technology,Male,,1929,Feng Yuxia,15,China,Asia,57,Consumer,Male,,2020,Christoph Henkel,14,Germany,Europe,65,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Richard Kayne,11,United State,North America,72,Financials,Male,,1941,Anthony Wood,11,United State,North America,53,Information Technology,Male,,1990,Wang Miaotong,10,China,Asia,63,Industrials,Male,,2035,Safra Catz,15,United State,North America,59,Information Technology,Female,,1929,Eduard Kucera,15,Czech Republic,Europe,69,Financials,Male,,2020,Daniel Hirschfeld,14,United State,North America,81,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Vladimir Kogan,11,Russia,Europe,54,Financials,Male,,1941,Xu Bo,11,China,Asia,41,Communication Services,Male,,1990,Isak Andic & family,10,Spain,Europe,52,Information Technology,Male,,2035,Chen Baohua,15,China,Asia,59,HealthCare,Male,,1929,Hary Tanoesoedibjo,15,Indonesia,Asia,56,Financials,Male,,2020,Drew Houston,14,United State,North America,40,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Koh Wee Meng,11,Singapore,Asia,54,Real Estate,Male,,1941,Xu Qiming,11,China,Asia,55,Financials,Male,,1990,Igor Kudryashkin,10,Russia,Europe,61,Financials,Male,,2035,Chen Xianbao & family,15,China,Asia,61,Consumer,Male,,1929,Danna Azrieli,15,Israel,Asia,54,Consumer,Male,,2020,Huang Jinxiang & family,14,China,Asia,58,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Koo Bon-Joon,11,South Korea,Asia,66,Information Technology,Male,,1941,Mark Haoyang Yang,11,China,Asia,44,Information Technology,Male,,1990,Wang Wenmo,10,China,Asia,53,HealthCare,Male,,2035,Chen Xiaohui,15,China,Asia,50,Information Technology,Male,,1929,Manfredi Lefebvre d'Ovidio & family,15,Italy,Europe,68,Consumer,Male,,2020,Rameshchandra Jain,14,India,Asia,74,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Lam Lung On,11,China,Asia,53,Real Estate,Male,,1941,You Xiaoping,11,China,Asia,61,Industrials,Male,,1990,Patricia Angelini Rossi,10,Chile,South America,66,Financials,Male,,2035,Manas Chiaravanond,15,Thailand,Asia,-,Financials,Male,,1929,Rafique Malik,15,India,Asia,71,Consumer,Male,,2020,Ke Zunhong & family,14,China,Asia,68,HealthCare,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Isaac Larian,11,United State,North America,63,Industrials,Male,,1941,Zan Shengda,11,China,Asia,55,Financials,Male,,1990,Lai Shixian,10,China,Asia,49,Financials,Male,,2035,Phongthep Chiaravanont,15,Thailand,Asia,69,Financials,Male,,1929,Eduardo Costantini,15,Argentina,South America,75,Materials,Male,,2020,Kim Taek-jin,14,South Korea,Asia,56,Communication Services,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Frank LaUnited Kingdomien,11,United State,North America,58,Industrials,Male,,1941,Zhang Guiping & family,11,China,Asia,67,Real Estate,Male,,1990,Wang Yanqing,10,China,Asia,66,Real Estate,Male,,2035,Prathip Chiravanond,15,Thailand,Asia,-,Financials,Male,,1929,Henrique Dubugras,15,Brazil,South America,26,Consumer,Female,,2020,Koh Wee Meng,14,Singapore,Asia,59,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Lee Joon-Ho,11,South Korea,Asia,53,Information Technology,Male,,1941,Zhang Yubai,11,China,Asia,54,Consumer,Male,,1990,Edmund Ansin,10,United State,North America,47,Industrials,Male,,2035,Alberto Cortina,15,Spain,Europe,75,Financials,Male,,1929,Pedro Franceschi,15,Brazil,South America,25,Energy,Male,,2020,Sergei Kolesnikov,14,Russia,Europe,51,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Lee Sang-HyUnited Kingdom,11,South Korea,Asia,46,Information Technology,Male,,1941,Zhang Zhixiang,11,China,Asia,52,Materials,Male,,1990,Lam Lung On & family,10,China,Asia,34,Consumer,Male,,2035,Bharat Desai,15,United State,North America,68,Information Technology,Male,,1929,He Zhiping,15,China,Asia,58,Financials,Male,,2020,Hemendra Kothari,14,India,Asia,76,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Nancy Lerner,11,United State,North America,57,Financials,Female,,1941,Zheng Yuewen & family,11,China,Asia,57,Financials,Male,,1990,Wang Yaohai,10,China,Asia,37,Consumer,Male,,2035,Tim Draper,15,United State,North America,62,Financials,Male,,1929,Jin Xin,15,China,Asia,55,Information Technology,Male,,2020,Sebastian Kulczyk,14,Poland,Europe,42,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Norma Lerner,11,United State,North America,81,Financials,Female,,2057,Zhou Zongwen & family,10,China,Asia,62,Consumer,Male,,1990,Brian Armstrong,10,United State,North America,74,Industrials,Male,,2035,John Farber,15,United State,North America,95,Industrials,Male,,1929,Li Jinyang,15,China,Asia,-,Consumer,Male,,2020,Kwee Liong Keng,14,Singapore,Asia,77,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Randolph Lerner,11,United State,North America,56,Financials,Male,,2057,Soegiarto Adikoesoemo,10,Indonesia,Asia,80,Industrials,Male,,1990,Thomas Lau,10,China,Asia,78,Financials,Male,,2035,Gary Fegel,15,Switzerland,Europe,47,Materials,Male,,1929,Li Ming,15,China,Asia,-,Communication Services,Male,,2020,Kwee Liong Phing,14,Singapore,Asia,65,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,David Xueling Li,11,China,Asia,45,Information Technology,Male,,2057,Chirayu Amin,10,India,Asia,72,HealthCare,Male,,1990,Sandy Weill,10,United State,North America,65,Information Technology,Female,,2035,John Foley,15,United State,North America,49,Information Technology,Male,,1929,Meng Qingshan & family,15,China,Asia,73,Financials,Male,,2020,Kwee Liong Seen,14,Singapore,Asia,70,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Li Tan,11,China,Asia,53,HealthCare,Female,,2057,Masaaki Arai,10,Japan,Asia,54,Real Estate,Male,,1990,Tatyana BakalchUnited Kingdom,10,Russia,Europe,51,Materials,Male,,2035,Geng Diangen,15,China,Asia,64,Information Technology,Male,,1929,Tang Binsen,15,China,Asia,39,Financials,Female,,2020,Kwee Liong Tek,14,Singapore,Asia,76,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Li Weiguo,11,China,Asia,53,Industrials,Male,,2057,Jose Maria Aristrain,10,Spain,Europe,56,Materials,Male,,1990,Lee Joon-ho,10,Korea,Asia,67,Financials,Male,,2035,Alan Gerry,15,United State,North America,92,Communication Services,Male,,1929,Xu Zhenhua,15,China,Asia,-,Information Technology,Male,,2020,Kwek Leng Keow,14,Singapore,Asia,71,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Liang Feng,11,China,Asia,49,Industrials,Male,,2057,Tatyana Bakalchuk,10,Russia,Europe,43,Consumer,Female,,1990,Wen Yibo & family,10,China,Asia,70,Information Technology,Male,,2035,Esther Grether,15,Switzerland,Europe,85,Consumer,Female,,1929,Xue Jiping,15,China,Asia,71,Financials,Male,,2020,Kwek Leng Peck,14,Singapore,Asia,67,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,Liang Guangwei,11,China,Asia,54,Industrials,Male,,2057,Binny Bansal,10,India,Asia,36,Information Technology,Male,,1990,Achal Bakeri,10,India,Asia,76,Real Estate,Male,,2035,Bill Gross,15,United State,North America,76,Financials,Male,,1929,Justin Yuan,15,China,Asia,-,Consumer,Male,,2020,Raymond Kwok,14,Hong Kong,Asia,69,Real Estate,Male
